# NOTES:
#
# This is a trace of Super Mario Bros from the FCEUX emulator.
#
# It's not a complete trace; I've snipped a bunch of repetitive stuff (but not all of it).
#
# More importantly, the trace goes _just_ up until the point where the program
# writes the first data into the PPU's palette memory space.
#
# For some reason my emulator never hits this area, and it's been a real pain
# to figure out what's going wrong.
#
# This trace uses indentation based on the stack pointer to help show you
# subroutine structure, which is really helpful.
#
# Figuring this out requires ridiculous amounts of focus and it's very easy
# to lose my place after each debugging session, so I'm writing this to help
# me pick back up the next time.
#
# I'm going to mark points in the trace where I _last_ checked that we've hit
# with the text ===MARK=== after the trace line.
#
# Other lines that are interesting will be marked with ===NOTE===


  $8000: 78       SEIA:00 X:00 Y:00 S:FD P:nvubdIzc 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:FA S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:FA S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:FA S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:FA S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07FA = #$00A:00 X:07 Y:FA S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:FA S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F9 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F9 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F9 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F9 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F9 = #$00A:00 X:07 Y:F9 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F9 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F8 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F8 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F8 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F8 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F8 = #$00A:00 X:07 Y:F8 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F8 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F7 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F7 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F7 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F7 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F7 = #$FFA:00 X:07 Y:F7 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F7 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F6 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F6 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F6 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F6 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F6 = #$FFA:00 X:07 Y:F6 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F6 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F5 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F5 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F5 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F5 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F5 = #$FFA:00 X:07 Y:F5 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F5 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F4 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F4 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F4 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F4 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F4 = #$FFA:00 X:07 Y:F4 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F4 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F3 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F3 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F3 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F3 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F3 = #$00A:00 X:07 Y:F3 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F3 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F2 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F2 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F2 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F2 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F2 = #$00A:00 X:07 Y:F2 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F2 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F1 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F1 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F1 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F1 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F1 = #$00A:00 X:07 Y:F1 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F1 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:F0 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:F0 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:F0 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:F0 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07F0 = #$00A:00 X:07 Y:F0 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:F0 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:EF S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:EF S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:EF S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:EF S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07EF = #$FFA:00 X:07 Y:EF S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:EF S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:EE S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:EE S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:EE S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:EE S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07EE = #$FFA:00 X:07 Y:EE S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:EE S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:ED S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:ED S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:ED S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:ED S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07ED = #$FFA:00 X:07 Y:ED S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:ED S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:EC S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:EC S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:EC S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:EC S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07EC = #$FFA:00 X:07 Y:EC S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:EC S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:EB S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:EB S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:EB S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:EB S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07EB = #$00A:00 X:07 Y:EB S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:EB S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:EA S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:EA S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:EA S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:EA S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07EA = #$00A:00 X:07 Y:EA S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:EA S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E9 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E9 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E9 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E9 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E9 = #$00A:00 X:07 Y:E9 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E9 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E8 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E8 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E8 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E8 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E8 = #$00A:00 X:07 Y:E8 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E8 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E7 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E7 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E7 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E7 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E7 = #$FFA:00 X:07 Y:E7 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E7 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E6 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E6 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E6 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E6 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E6 = #$FFA:00 X:07 Y:E6 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E6 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E5 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E5 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E5 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E5 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E5 = #$FFA:00 X:07 Y:E5 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E5 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E4 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E4 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E4 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E4 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E4 = #$FFA:00 X:07 Y:E4 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E4 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E3 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E3 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E3 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E3 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E3 = #$00A:00 X:07 Y:E3 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E3 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E2 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E2 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E2 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E2 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E2 = #$00A:00 X:07 Y:E2 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E2 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E1 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E1 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E1 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E1 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E1 = #$00A:00 X:07 Y:E1 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E1 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:E0 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:E0 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:E0 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:E0 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07E0 = #$00A:00 X:07 Y:E0 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:E0 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:DF S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:DF S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:DF S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:DF S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07DF = #$FFA:00 X:07 Y:DF S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:DF S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:DE S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:DE S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:DE S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:DE S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07DE = #$FFA:00 X:07 Y:DE S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:DE S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:DD S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:DD S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:DD S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:DD S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07DD = #$FFA:00 X:07 Y:DD S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:DD S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:DC S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:DC S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:DC S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:DC S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07DC = #$FFA:00 X:07 Y:DC S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:DC S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:DB S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:DB S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:DB S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:DB S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07DB = #$00A:00 X:07 Y:DB S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:DB S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:DA S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:DA S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:DA S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:DA S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07DA = #$00A:00 X:07 Y:DA S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:DA S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:D9 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:D9 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:D9 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:D9 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07D9 = #$00A:00 X:07 Y:D9 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:D9 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:D8 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:D8 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:D8 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:D8 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07D8 = #$00A:00 X:07 Y:D8 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:D8 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:D7 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:D7 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:D7 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:D7 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07D7 = #$FFA:00 X:07 Y:D7 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:D7 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:D6 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:D6 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:D6 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:D6 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07D6 = #$FFA:00 X:07 Y:D6 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:D6 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:D5 S:FD P:NvubdIzC 
  $90E1: D0 F1    BNE $90D4A:00 X:07 Y:D5 S:FD P:NvubdIzc 
  $90D4: E0 01    CPX #$01A:00 X:07 Y:D5 S:FD P:NvubdIzc 
  $90D6: D0 04    BNE $90DCA:00 X:07 Y:D5 S:FD P:nvubdIzC 
  $90DC: 91 06    STA ($06),Y @ $07D5 = #$FFA:00 X:07 Y:D5 S:FD P:nvubdIzC 
  $90DE: 88       DEYA:00 X:07 Y:D5 S:FD P:nvubdIzC 
  $90DF: C0 FF    CPY #$FFA:00 X:07 Y:D4 S:FD P:NvubdIzC 
